,Date,Aval,Strong,Opp-Status,Opp,W/L,Opp-W
125,7.04,False,False,Weak,MIN,L,85
126,7.05,False,False,Weak,MIN,W,85
44,7.07,False,False,Weak,TEX,L,78
45,7.08,False,False,Weak,TEX,L,78
46,7.09,False,False,Weak,TEX,W,78
111,7.14,True,False,Weak,TBR,L,80
112,7.15,True,False,Weak,TBR,L,80
113,7.16,True,False,Weak,TBR,W,80
143,7.18,True,False,Weak,WSN,L,97
144,7.19,True,False,Weak,WSN,W,97
136,7.21,True,False,Weak,BOS,L,93
137,7.22,True,False,Weak,BOS,W,93
138,7.23,True,False,Weak,BOS,W,93
147,7.25,True,False,Weak,CLE,L-wo,102
148,7.26,True,False,Weak,CLE,L,102
149,7.27,True,False,Weak,CLE,L,102
87,7.28,True,False,Weak,TOR,W,76
88,7.29,True,False,Weak,TOR,W,76
89,7.3,True,False,Weak,TOR,L-wo,76
153,8.01,True,False,Weak,PHI,W,66
154,8.02,True,False,Weak,PHI,W,66
155,8.03,True,False,Weak,PHI,W,66
10,8.04,True,False,Weak,OAK,W,75
11,8.05,True,False,Weak,OAK,L,75
12,8.06,True,False,Weak,OAK,L,75
156,8.07,True,False,Weak,BAL,L,75
157,8.08,True,False,Weak,BAL,W,75
158,8.09,True,False,Weak,BAL,W,75
28,8.1,True,False,Weak,SEA,W,78
29,8.11,True,False,Weak,SEA,W,78
30,8.12,True,False,Weak,SEA,W,78
31,8.13,True,False,Weak,SEA,W,78
145,8.15,True,False,Weak,WSN,L,97
146,8.16,True,False,Weak,WSN,W,97
159,8.18,True,False,Weak,BAL,L-wo,75
160,8.19,True,False,Weak,BAL,W,75
161,8.2,True,False,Weak,BAL,W,75
47,8.21,True,False,Weak,TEX,L,78
48,8.22,True,False,Weak,TEX,W,78
49,8.23,True,False,Weak,TEX,L,78
50,8.24,True,False,Weak,TEX,L,78
74,8.25,True,False,Weak,HOU,L,101
75,8.26,True,False,Weak,HOU,W,101
76,8.27,True,False,Weak,HOU,L,101
13,8.28,True,False,Weak,OAK,W,75
14,8.29,True,False,Weak,OAK,W,75
15,8.3,True,False,Weak,OAK,W,75
51,9.01,True,False,Weak,TEX,L,78
52,9.02,True,False,Weak,TEX,W,78
53,9.03,True,False,Weak,TEX,L,78
16,9.04,True,False,Weak,OAK,W,75
17,9.05,True,False,Weak,OAK,W,75
18,9.06,True,False,Weak,OAK,L,75
32,9.08,True,False,Weak,SEA,L,78
33,9.09,True,False,Weak,SEA,L,78
34,9.1,True,False,Weak,SEA,W,78
77,9.12,True,False,Weak,HOU,L,101
78,9.13,True,False,Weak,HOU,W,101
79,9.14,True,False,Weak,HOU,L,101
54,9.15,True,False,Weak,TEX,W,78
55,9.16,True,False,Weak,TEX,W,78
56,9.17,True,False,Weak,TEX,L,78
150,9.19,True,False,Weak,CLE,L,102
151,9.2,True,False,Weak,CLE,L,102
152,9.21,True,False,Weak,CLE,L,102
80,9.22,True,False,Weak,HOU,L,101
81,9.23,True,False,Weak,HOU,L,101
82,9.24,True,False,Weak,HOU,W,101
100,9.25,True,False,Weak,CHW,L,67
101,9.26,True,False,Weak,CHW,W,67
102,9.27,True,False,Weak,CHW,L-wo,67
103,9.28,True,False,Weak,CHW,L,67
35,9.29,True,False,Weak,SEA,W,78
36,9.3,True,False,Weak,SEA,L,78
37,10.01,True,False,Weak,SEA,W,78
